suite,question,method,repetition,truth_count,found_count,tp,fp,fn,precision,recall,f1,wall_seconds,llm_calls,cheap_calls,expensive_calls,cheap_seconds,expensive_seconds,cascade_target,calibration_budget,calibration_candidates,calibration_agreement,learned_confidence_threshold
5q,q_02,trummer_baseline,3,15,53,15,38,0,0.2830188679245283,1.0,0.4411764705882353,16.54130209900177,16,0,16,0.0,16.484089871002652,0.9,20,0,0.0,
5q,q_02,trummer_baseline,4,15,53,15,38,0,0.2830188679245283,1.0,0.4411764705882353,16.504103289997147,16,0,16,0.0,16.444999570994696,0.9,20,0,0.0,
5q,q_02,trummer_baseline,5,15,53,15,38,0,0.2830188679245283,1.0,0.4411764705882353,16.562588086002506,16,0,16,0.0,16.50447859000269,0.9,20,0,0.0,
5q,q_02,trummer_baseline,6,15,53,15,38,0,0.2830188679245283,1.0,0.4411764705882353,16.537133929996344,16,0,16,0.0,16.478629764998914,0.9,20,0,0.0,
5q,q_02,trummer_baseline,7,15,53,15,38,0,0.2830188679245283,1.0,0.4411764705882353,16.50585525399947,16,0,16,0.0,16.446604468008445,0.9,20,0,0.0,
5q,q_02,trummer_baseline,8,15,53,15,38,0,0.2830188679245283,1.0,0.4411764705882353,16.510771936998935,16,0,16,0.0,16.45215143598034,0.9,20,0,0.0,
5q,q_02,trummer_baseline,9,15,53,15,38,0,0.2830188679245283,1.0,0.4411764705882353,16.52185999899666,16,0,16,0.0,16.4643159460029,0.9,20,0,0.0,
5q,q_02,trummer_baseline,10,15,53,15,38,0,0.2830188679245283,1.0,0.4411764705882353,16.52143891099695,16,0,16,0.0,16.458147994002502,0.9,20,0,0.0,
5q,q_02,trummer_v1,1,15,25,15,10,0,0.6,1.0,0.7499999999999999,12.482202086001053,15,9,6,6.614156563984579,5.843707332001941,0.9,20,20,0.7777777777777778,
5q,q_02,trummer_v1,2,15,21,15,6,0,0.7142857142857143,1.0,0.8333333333333333,12.029089757001202,14,9,5,6.470828267003526,5.533931356985704,0.9,20,20,0.7777777777777778,
5q,q_02,trummer_v1,3,15,21,15,6,0,0.7142857142857143,1.0,0.8333333333333333,12.041686586999276,14,9,5,6.507274606999999,5.510498296011065,0.9,20,20,0.7777777777777778,
5q,q_02,trummer_v1,4,15,21,15,6,0,0.7142857142857143,1.0,0.8333333333333333,11.964048139001534,14,9,5,6.468085699016228,5.473690940008964,0.9,20,20,0.7777777777777778,
5q,q_02,trummer_v1,5,15,21,15,6,0,0.7142857142857143,1.0,0.8333333333333333,11.994590595000773,14,9,5,6.481283658999018,5.490250023991393,0.9,20,20,0.7777777777777778,
5q,q_02,trummer_v1,6,15,21,15,6,0,0.7142857142857143,1.0,0.8333333333333333,12.008126962995448,14,9,5,6.497311614017235,5.487705209008709,0.9,20,20,0.7777777777777778,
5q,q_02,trummer_v1,7,15,21,15,6,0,0.7142857142857143,1.0,0.8333333333333333,12.030896343996574,14,9,5,6.517598437996639,5.489820267990581,0.9,20,20,0.7777777777777778,
5q,q_02,trummer_v1,8,15,21,15,6,0,0.7142857142857143,1.0,0.8333333333333333,12.013189549004892,14,9,5,6.493214713009365,5.494101279997267,0.9,20,20,0.7777777777777778,
5q,q_02,trummer_v1,9,15,21,15,6,0,0.7142857142857143,1.0,0.8333333333333333,12.013974911998957,14,9,5,6.505772383003205,5.485468145008781,0.9,20,20,0.7777777777777778,
5q,q_02,trummer_v1,10,15,21,15,6,0,0.7142857142857143,1.0,0.8333333333333333,11.993589405996318,14,9,5,6.46738368098886,5.502798943991365,0.9,20,20,0.7777777777777778,
5q,q_03,suql_baseline,1,15,16,14,2,1,0.875,0.9333333333333333,0.9032258064516129,20.182641780003905,50,0,50,0.0,20.160155159042915,0.9,20,0,0.0,
5q,q_03,suql_baseline,2,15,16,14,2,1,0.875,0.9333333333333333,0.9032258064516129,20.169704036998155,50,0,50,0.0,20.14868477498385,0.9,20,0,0.0,
5q,q_03,suql_baseline,3,15,16,14,2,1,0.875,0.9333333333333333,0.9032258064516129,20.170147985001677,50,0,50,0.0,20.146324893968995,0.9,20,0,0.0,
5q,q_03,suql_baseline,4,15,16,14,2,1,0.875,0.9333333333333333,0.9032258064516129,20.16891281399876,50,0,50,0.0,20.14683443299873,0.9,20,0,0.0,
5q,q_03,suql_baseline,5,15,16,14,2,1,0.875,0.9333333333333333,0.9032258064516129,20.165729207001277,50,0,50,0.0,20.144399558004807,0.9,20,0,0.0,
5q,q_03,suql_baseline,6,15,16,14,2,1,0.875,0.9333333333333333,0.9032258064516129,20.16125674900104,50,0,50,0.0,20.14024557502853,0.9,20,0,0.0,
5q,q_03,suql_baseline,7,15,16,14,2,1,0.875,0.9333333333333333,0.9032258064516129,20.202981356997043,50,0,50,0.0,20.182531346014002,0.9,20,0,0.0,
5q,q_03,suql_baseline,8,15,16,14,2,1,0.875,0.9333333333333333,0.9032258064516129,20.26724439499958,50,0,50,0.0,20.243115247001697,0.9,20,0,0.0,
5q,q_03,suql_baseline,9,15,16,14,2,1,0.875,0.9333333333333333,0.9032258064516129,20.21948082200106,50,0,50,0.0,20.198823819038807,0.9,20,0,0.0,
5q,q_03,suql_baseline,10,15,16,14,2,1,0.875,0.9333333333333333,0.9032258064516129,20.199088812994887,50,0,50,0.0,20.177706590002344,0.9,20,0,0.0,
5q,q_03,suql_v1,1,15,14,13,1,2,0.9285714285714286,0.8666666666666667,0.896551724137931,44.49391432199627,70,50,20,36.33291452598496,8.143582880977192,0.9,20,20,0.9,2.0
5q,q_03,suql_v1,2,15,14,13,1,2,0.9285714285714286,0.8666666666666667,0.896551724137931,44.374324777003494,70,50,20,36.208742110007734,8.14677147999464,0.9,20,20,0.9,2.0
5q,q_03,suql_v1,3,15,14,13,1,2,0.9285714285714286,0.8666666666666667,0.896551724137931,44.290203575001215,70,50,20,36.164501806983026,8.106832043995382,0.9,20,20,0.9,2.0
5q,q_03,suql_v1,4,15,14,13,1,2,0.9285714285714286,0.8666666666666667,0.896551724137931,44.33185388700076,70,50,20,36.20618654501595,8.10891839096439,0.9,20,20,0.9,2.0
